Name,Age,mlbID,Lev,Tm,Age,PA,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,position,team_abbr
CJ Abrams,25,682928,Maj-NL,Washington,25,1904,1729,263,435,264,93,17,61,204,115,379,113,20,0.252,0.313,0.431,SS,WSN
Jos\xc3\xa9 Abreu,37,547989,Maj-AL,Houston,37,754,690,77,153,102,26,1,24,110,49,165,1,1,0.222,0.279,0.367,1B,HOU
Wilyer Abreu,27,677800,Maj-AL,Boston,27,1011,907,130,237,132,60,3,42,150,92,264,17,7,0.261,0.329,0.473,RF,BOS
Maximo Acosta,22,691185,Maj-NL,Miami,22,61,54,7,11,7,1,0,3,5,6,17,1,2,0.204,0.295,0.389,SS,MIA
Luisangel Acu\xc3\xb1a,24,682668,"Maj-AL,Maj-NL","Chicago,New York",24,282,259,40,62,49,9,1,3,16,15,50,20,2,0.239,0.287,0.317,2B,
Ronald Acu\xc3\xb1a Jr.,28,660670,Maj-NL,Atlanta,28,1447,1239,268,376,243,59,7,67,167,188,254,100,20,0.303,0.401,0.525,RF,ATL
Willy Adames,30,642715,Maj-NL,"Milwaukee,San Francisco",30,2091,1827,268,426,241,93,4,88,285,231,537,39,11,0.233,0.32,0.433,SS,
Jordyn Adams,25,677941,Maj-AL,"Baltimore,Los Angeles",25,83,79,6,13,12,0,0,1,5,3,30,3,2,0.165,0.193,0.203,CF,
Riley Adams,29,656180,Maj-NL,Washington,29,574,522,47,114,71,26,3,14,53,39,190,2,0,0.218,0.283,0.36,C,WSN
Jo Adell,27,666176,Maj-AL,Los Angeles,27,1148,1048,129,237,136,36,4,61,171,73,314,22,11,0.226,0.288,0.443,CF,LAA
Ehire Adrianza,34,501303,"Maj-AL,Maj-NL","Atlanta,Los Angeles",34,39,36,4,5,3,1,0,1,2,3,15,0,0,0.139,0.205,0.25,SS,
Jes\xc3\xbas Aguilar,33,542583,Maj-AL,Oakland,33,111,101,8,23,16,2,0,5,9,7,29,0,0,0.228,0.282,0.396,1B,OAK
Nick Ahmed,35,605113,"Maj-AL,Maj-NL","Arizona,Los Angeles,San Diego,San Francisco,Texas",35,443,412,34,89,68,15,2,4,34,24,104,8,2,0.216,0.259,0.291,SS,
Hanser Alberto,30,593643,Maj-AL,Chicago,30,90,82,11,18,10,5,0,3,16,4,13,0,0,0.22,0.261,0.39,3B,CWS
Ozzie Albies,29,645277,Maj-NL,Atlanta,29,1846,1675,230,431,279,82,8,62,242,134,285,36,7,0.257,0.316,0.427,2B,ATL
Kevin Alc\xc3\xa1ntara,22,682634,Maj-NL,Chicago,22,22,21,3,5,5,0,0,0,1,1,5,1,0,0.238,0.273,0.238,RF,CHC
Sergio Alc\xc3\xa1ntara,28,642727,Maj-NL,San Francisco,28,4,4,0,0,0,0,0,0,0,0,2,0,0,0.0,0.0,0.0,SS,SF
Blaze Alexander,27,677942,"Maj-AL,Maj-NL","Arizona,Baltimore",27,486,429,54,102,71,20,1,10,50,38,145,9,8,0.238,0.32,0.359,SS,
CJ Alexander,28,680769,Maj-AL,"Athletics,Kansas City",28,25,25,0,4,4,0,0,0,0,0,11,0,0,0.16,0.16,0.16,1B,
Tyler Alexander,30,641302,Maj-AL,Chicago,30,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,P,CWS
Jorge Alfaro,32,595751,"Maj-AL,Maj-NL","Boston,Colorado,Washington",32,91,87,5,17,10,6,0,1,7,2,29,1,0,0.195,0.231,0.299,C,
Greg Allen,32,656185,Maj-AL,"Baltimore,New York",32,42,37,7,5,2,1,1,1,1,2,15,3,2,0.135,0.22,0.297,CF,
Nick Allen,27,669397,"Maj-AL,Maj-NL","Atlanta,Houston,Oakland",27,863,782,72,169,143,19,2,5,46,55,174,13,8,0.216,0.27,0.265,SS,
Abraham Almonte,34,501659,Maj-NL,New York,34,16,15,1,1,0,1,0,0,0,1,8,0,0,0.067,0.125,0.133,OF,NYM
Pete Alonso,31,624413,"Maj-AL,Maj-NL","Baltimore,New York",31,2172,1890,283,459,238,96,3,122,344,214,518,11,3,0.243,0.333,0.49,1B,
Jose Altuve,36,514888,Maj-AL,Houston,36,1871,1685,273,484,329,83,3,69,206,161,317,48,16,0.287,0.353,0.463,LF,HOU
Jake Alu,26,666906,Maj-NL,Washington,26,175,159,14,36,31,2,1,2,16,10,42,5,1,0.226,0.282,0.289,3B,WSN
