Name,Age,mlbID,Lev,Tm,Age,G,GS,W,SV,IP,H,ER,BB,SO,HR,ERA,WHIP,BF,SO/W,SB,PO,team_abbr
Fernando Abad,37,472551,Maj-NL,Colorado,37,6,0,1.0,,6.1,11,3,3,2,2,4.26,2.211,32,0.67,1,0,COL
Andrew Abbott,27,671096,Maj-NL,Cincinnati,27,78,78,28.0,,430.2,393,163,145,394,61,3.41,1.249,1801,2.72,34,8,CIN
Cory Abbott,27,676265,Maj-NL,Washington,27,22,0,1.0,,39.1,48,29,19,40,9,6.64,1.703,183,2.11,5,0,WSN
Mick Abel,24,690953,"Maj-AL,Maj-NL","Minnesota,Philadelphia",24,13,10,3.0,,52.1,61,36,26,52,8,6.19,1.662,241,2.0,3,0,
Philip Abner,23,691769,Maj-NL,Arizona,23,5,0,,,3.2,5,2,3,5,0,4.91,2.182,18,1.67,0,0,ARI
Albert Abreu,27,656061,Maj-AL,New York,27,45,0,2.0,,59.0,52,31,35,61,9,4.73,1.475,268,1.74,7,2,NYY
Bryan Abreu,29,650556,Maj-AL,Houston,29,234,0,9.0,14.0,233.0,165,72,107,329,23,2.78,1.167,968,3.07,29,3,HOU
Domingo Acevedo,29,642758,Maj-AL,Oakland,29,8,0,,,8.1,16,11,2,5,2,11.88,2.16,44,2.5,2,0,OAK
Garrett Acton,28,670183,Maj-AL,"Minnesota,Oakland,Tampa Bay",28,8,0,1.0,,8.2,10,9,7,7,3,9.35,1.962,45,1.0,0,0,
Jason Adam,34,592094,"Maj-AL,Maj-NL","San Diego,Tampa Bay",34,201,0,19.0,17.0,198.1,129,50,67,226,17,2.27,0.988,792,3.37,45,2,
Austin Adams,33,613534,"Maj-AL,Maj-NL","Arizona,Oakland",33,80,0,1.0,,58.2,54,29,31,75,5,4.45,1.449,272,2.42,9,0,
Travis Adams,25,701519,Maj-AL,Minnesota,25,18,2,1.0,,33.2,39,28,17,31,6,7.49,1.663,158,1.82,3,0,MIN
Ty Adcock,28,686654,"Maj-AL,Maj-NL","New York,Seattle",28,18,0,,,23.0,20,14,4,19,9,5.48,1.043,93,4.75,1,1,
Joan Adon,25,672851,Maj-NL,Washington,25,20,11,2.0,,62.1,72,45,28,54,10,6.5,1.604,288,1.93,10,1,WSN
Zach Agnos,25,688642,Maj-NL,Colorado,25,35,0,1.0,5.0,39.2,44,30,22,26,5,6.81,1.664,180,1.18,0,1,COL
Julian Aguiar,23,687924,Maj-NL,Cincinnati,23,7,7,2.0,,31.2,30,22,12,19,8,6.25,1.326,140,1.58,1,0,CIN
Keegan Akin,30,669211,Maj-AL,Baltimore,30,154,4,10.0,9.0,165.1,143,71,60,181,21,3.86,1.228,692,3.02,3,3,BAL
Hanser Alberto,30,593643,Maj-AL,Chicago,30,2,0,,,1.2,6,4,1,1,1,21.6,4.2,12,1.0,0,0,CWS
Jorge Alcala,29,660896,"Maj-AL,Maj-NL","Boston,Minnesota,St. Louis",29,121,0,4.0,,130.2,120,71,60,135,26,4.89,1.378,567,2.25,20,0,
Sandy Alcantara,30,645261,Maj-NL,Miami,30,61,61,20.0,,378.0,348,188,105,309,44,4.48,1.198,1570,2.94,53,4,MIA
Sam Aldegheri,23,691951,Maj-AL,Los Angeles,23,7,5,1.0,,26.2,35,19,20,22,5,6.41,2.063,140,1.1,3,1,LAA
Jason Alexander,32,669920,Maj-AL,"Athletics,Houston",32,18,13,4.0,1.0,77.1,80,41,26,65,15,4.77,1.371,336,2.5,6,1,
Scott Alexander,35,518397,"Maj-AL,Maj-NL","Colorado,Oakland,San Francisco",35,121,8,9.0,1.0,104.2,109,48,35,70,10,4.13,1.376,449,2.0,11,0,
Tyler Alexander,31,641302,"Maj-AL,Maj-NL","Chicago,Detroit,Milwaukee,Tampa Bay,Texas",31,107,15,13.0,3.0,257.1,268,138,62,223,40,4.83,1.282,1093,3.6,18,5,
Kolby Allard,28,663465,"Maj-AL,Maj-NL","Atlanta,Cleveland,Philadelphia",28,47,9,4.0,,110.0,122,48,28,86,14,3.93,1.364,466,3.07,6,1,
Logan Allen,27,663531,Maj-NL,Arizona,27,12,0,,1.0,28.0,32,17,10,21,3,5.46,1.5,128,2.1,3,0,ARI
Logan Allen,26,671106,Maj-AL,Cleveland,26,74,73,23.0,,379.1,397,188,151,320,56,4.46,1.445,1645,2.12,11,8,CLE
Yency Almonte,30,622075,Maj-NL,"Chicago,Los Angeles",30,65,0,4.0,1.0,62.2,52,33,32,69,7,4.74,1.34,272,2.16,5,0,
Dan Altavilla,32,656186,Maj-AL,"Chicago,Kansas City",32,33,1,,2.0,32.2,24,14,18,26,5,3.86,1.286,141,1.44,2,1,
Elvis Alvarado,27,665660,Maj-AL,Athletics,27,44,0,3.0,,49.1,42,20,26,56,6,3.65,1.378,214,2.15,3,0,
Jos\xc3\xa9 Alvarado,31,621237,Maj-NL,Philadelphia,31,152,0,6.0,30.0,142.1,121,55,61,173,13,3.48,1.279,607,2.84,13,0,PHI
Andrew Alvarez,26,674841,Maj-NL,Washington,26,5,5,1.0,,23.1,16,6,10,20,1,2.31,1.114,98,2.0,1,0,WSN
Eddy Alvarez,34,657193,Maj-NL,New York,34,1,0,,,1.0,1,0,0,1,0,0.0,1.0,5,,0,0,NYM
Adbert Alzolay,29,640470,Maj-NL,Chicago,29,76,0,3.0,26.0,81.1,71,28,19,80,11,3.1,1.107,328,4.21,10,3,CHC
Jacob Amaya,26,676070,Maj-AL,Chicago,26,1,0,,,1.0,0,0,0,0,0,0.0,0.0,3,,0,0,CWS
Chase Anderson,36,502624,"Maj-AL,Maj-NL","Boston,Colorado,Tampa Bay,Texas",36,48,18,1.0,4.0,144.2,145,87,54,106,29,5.41,1.376,627,1.96,11,0,
Drew Anderson,32,623454,Maj-AL,Detroit,32,5,0,,1.0,9.2,7,5,6,9,2,4.66,1.345,43,1.5,0,0,DET
Grant Anderson,29,681982,"Maj-AL,Maj-NL","Milwaukee,Texas",29,125,0,4.0,1.0,143.1,135,71,57,144,24,4.46,1.34,614,2.53,16,2,
Ian Anderson,27,666120,Maj-AL,Los Angeles,27,7,0,,,9.1,17,12,7,8,2,11.57,2.571,51,1.14,1,0,LAA
Justin Anderson,31,605121,Maj-AL,Chicago,31,56,0,1.0,1.0,53.1,48,26,32,57,5,4.39,1.5,242,1.78,8,0,CWS
Nick Anderson,34,623433,"Maj-AL,Maj-NL","Atlanta,Colorado,Kansas City",34,84,0,7.0,2.0,85.2,82,38,26,75,12,3.99,1.261,355,2.88,4,0,
Shaun Anderson,31,641312,"Maj-AL,Maj-NL","Los Angeles,Miami,Texas",31,16,2,2.0,,35.2,61,32,8,27,10,8.07,1.935,175,3.38,2,0,
Tyler Anderson,35,542881,Maj-AL,Los Angeles,35,84,82,18.0,,456.2,439,230,194,365,72,4.53,1.386,1993,1.88,31,1,LAA
Clayton Andrews,27,677076,"Maj-AL,Maj-NL","Milwaukee,New York",27,5,0,,,3.2,11,11,2,5,4,27.0,3.545,25,2.5,0,0,
Matt Andriese,34,542882,Maj-NL,Miami,34,4,0,,,6.0,7,4,1,7,2,6.0,1.333,26,7.0,1,0,MIA
Tejay Antone,30,622088,Maj-NL,Cincinnati,30,8,1,,,7.2,5,2,6,9,0,2.35,1.435,32,1.5,0,0,CIN
Luarbert Arias,24,678215,Maj-NL,Miami,24,7,0,,,10.1,17,13,5,10,2,11.32,2.129,55,2.0,2,0,MIA
Shawn Armstrong,35,542888,"Maj-AL,Maj-NL","Chicago,Cleveland,St. Louis,Tampa Bay,Texas",35,176,15,9.0,10.0,201.1,161,65,61,206,15,2.91,1.103,824,3.38,17,0,
Spencer Arrighetti,25,681293,Maj-AL,Houston,25,36,35,8.0,,180.1,169,94,85,202,27,4.69,1.409,788,2.38,27,1,HOU
Aaron Ashby,28,676879,Maj-NL,Milwaukee,28,73,7,9.0,3.0,113.2,95,36,47,134,7,2.85,1.249,479,2.85,16,3,MIL
Braxton Ashcraft,26,677952,Maj-NL,Pittsburgh,26,29,11,5.0,,86.2,75,25,29,91,3,2.6,1.2,358,3.14,5,0,PIT
Graham Ashcraft,28,668933,Maj-NL,Cincinnati,28,112,41,20.0,,297.1,313,153,107,243,36,4.63,1.413,1295,2.27,18,2,CIN
Javier Assad,28,665871,Maj-NL,Chicago,28,70,47,17.0,,299.0,270,113,118,244,36,3.4,1.298,1259,2.07,23,4,CHC
Luinder Avila,24,679883,Maj-AL,Kansas City,24,15,1,1.0,,20.0,21,8,10,22,1,3.6,1.55,89,2.2,1,1,KC
Nick Avila,26,687014,Maj-NL,San Francisco,26,8,0,1.0,,11.2,17,11,3,14,2,8.49,1.714,55,4.67,1,0,SF
Pedro Avila,27,658648,"Maj-AL,Maj-NL","Cleveland,San Diego",27,71,6,9.0,1.0,137.0,116,53,63,139,11,3.48,1.307,586,2.21,3,0,
Lake Bachar,31,669199,Maj-NL,Miami,31,67,1,8.0,3.0,87.1,69,38,37,96,12,3.92,1.214,364,2.59,7,0,MIA
Sam Bachman,26,696147,Maj-AL,Los Angeles,26,39,0,3.0,1.0,44.0,42,21,26,40,1,4.3,1.545,198,1.54,2,0,LAA
Kyle Backhus,28,679775,Maj-NL,"Arizona,Philadelphia",28,36,0,,2.0,28.1,32,16,9,26,4,5.08,1.447,129,2.89,0,0,
Bryan Baker,31,641329,Maj-AL,"Baltimore,Tampa Bay",31,144,0,10.0,5.0,142.2,115,65,51,163,21,4.1,1.164,575,3.2,13,1,
Jordan Balazovic,24,666364,Maj-AL,Minnesota,24,18,0,1.0,,24.1,26,12,12,17,5,4.44,1.562,108,1.42,0,0,MIN
Anthony Banda,32,607455,"Maj-AL,Maj-NL","Los Angeles,Minnesota,Washington",32,154,3,9.0,2.0,143.0,121,60,67,138,17,3.78,1.315,613,2.06,19,4,
Tanner Banks,34,621383,"Maj-AL,Maj-NL","Chicago,Philadelphia",34,172,6,9.0,4.0,208.2,192,87,53,198,25,3.75,1.174,863,3.74,26,4,
Hunter Barco,25,682995,Maj-NL,Pittsburgh,25,5,0,1.0,,8.1,10,4,5,7,3,4.32,1.8,41,1.4,1,0,PIT
Daniel Bard,38,453268,Maj-NL,Colorado,38,50,0,4.0,1.0,49.1,35,25,49,47,5,4.56,1.703,232,0.96,2,2,COL
